web-scraper-order,web-scraper-start-url,Name,Address
"1553474434-366","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 116 Đường số 10","116 đường số 10, Ấp 5, Xã Phong Phú, Huyện Bình Chánh, Thành Phố Hồ Chí Minh"
"1553474434-430","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Kiot D1-D2 Chợ Hài Mỹ","Kiosk D1, D2 Chợ Hài Mỹ, Bình Phú, Phường Bình Chuẩn, Thị Xã Thuận An, TỈnh Bình Dương"
"1553474434-653","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 26/4B ấp Đông Lân","26/4B ấp Đông lân , Xã Bà Điểm Huyện Hóc Môn TP, HCM"
"1553474434-255","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ G15 Nguyễn Thị Nghĩa","G15 Phạm Thị Nghĩa, KP 5, Phường Tân Hiệp, Thành Phố Biên Hòa, Tỉnh Đống Nai"
"1553474434-565","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 41 Đường 59","41  Đường 59, Phương 14, Quận gò Vấp, TP. HCM"
"1553474434-783","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ PTO 130 Lê Quý Đôn","Số 130 Lê Quý Đôn, phường Gia Cẩm, TP Việt Trì, tỉnh Phú Thọ"
"1553474434-409","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 36/27 Kinh Dương Vương","36/27 Kinh Dương Vương, Phường 13, Quận 6, Thành Phố Hồ Chí Minh"
"1553474434-825","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ Ngũ Hiệp","TT1-08, lô TT1, Khu TĐC xã Ngũ Hiệp, huyện Thanh Trì, thành phố Hà Nội"
"1553474434-442","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 319 Chiến Lược","319 Chiến Lược, phường Bình Trị Đông A, Quận Bình Tân, Thành Phố Hồ Chí Minh"
"1553474434-675","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 37A /1Tổ 3","37A/1 Tổ 3- Khu phố 1A, phường An Phú, thị xã Thuận An, tỉnh Bình Dương"
"1553474434-372","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 101 Bùi Văn Ngữ","101 Bùi Văn Ngữ, Phường Tân Chánh Hiệp, quận 12, Thành Phố Hồ Chí Minh"
"1553474434-826","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ Xuân Đỉnh","Số 357 Xuân Đỉnh, phường Xuân Đỉnh, quận Bắc Từ Liêm, Hà Nội"
"1553474434-455","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 359 Trần Hưng Đạo","359 Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, thành phố Đà Nẵng"
"1553474434-789","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ HPG 154 Bạch Đằng","154 Bạch Đằng, Thị trấn Núi Đèo, huyện Thủy Nguyên, Thành phố Hải Phòng"
"1553474434-867","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 28 ngõ 68 Cầu Giấy (111 dãy C cũ)","Số 28 ngõ 68 đường Cầu Giấy, phường Quan Hoa, quận Cầu Giấy, Hà Nội"
"1553474434-452","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 102/45 Lê Văn Thọ","102/45 Lê Văn Thọ, Phường 11, Quận Gò Vấp, thành phố hồ chí Minh"
"1553474434-696","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 202 Phạm Văn Chiêu","Số 202 Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Thành Phố Hồ Chí Minh"
"1553474434-424","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI 140 Phó Đức Chính","Số 140 Phó Đức Chính, phường Trúc Bạch, quận Ba Đình, Việt Nam"
"1553474434-473","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 39 Trần Hưng Đạo","39 Trần Hưng Đạo, Khu Phố Tây B, Phường Đông Hòa, Thị Xã Dĩ An, Bình Dương"
"1553474434-20","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ THA 106 Cao Sơn","Số 106 Cao Sơn, phường An Hoạch, thành phố Thanh Hóa, tỉnh Thanh Hóa"
"1553474434-870","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+  Intracom Trung Văn","66 Trung Văn, phường Trung Văn, quận Nam Từ Liêm, Hà Nội"
"1553474434-139","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HPG 390 Phủ Thượng Đoạn","Số 390 Phủ Thượng Đoạn, Đông Hải 1, Hải An, Hải Phòng"
"1553474434-840","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+  174 Hàng Kênh - Hải Phòng","Số 174 phố Hàng Kênh, Phường Hàng Kênh, Quận Lê Chân, Hải Phòng"
"1553474434-396","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI 38 Đào Cam Mộc","Tổ 37 Đào Cam Mộc, xã Việt Hùng, huyện Đông Anh, Tp. Hà Nội."
"1553474434-439","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 38 Đường TTN02","38 đường TTN02, KP 7, Phường Tân Thới Nhất, Quận 12, Thành Phố Hồ Chí Minh"
